epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4266,2.05532,4.44216,1.6137,0.00266,0.16236,0.03895,0.02547,1.85013,4.34348,1.46112,3.636e-05,3.636e-05,3.636e-05
2,30.9287,1.96744,4.26271,1.52659,0.00545,0.3238,0.08903,0.06013,1.79289,4.24253,1.36668,6.56116e-05,6.56116e-05,6.56116e-05
3,40.3737,1.9119,4.11309,1.37985,0.00586,0.38277,0.10625,0.06373,1.71703,4.18044,1.29778,7.6865e-05,7.6865e-05,7.6865e-05
4,49.9864,1.87876,3.9129,1.31699,0.00596,0.38547,0.12439,0.07417,1.73954,4.16028,1.30083,7.01203e-05,7.01203e-05,7.01203e-05
5,59.5605,1.91111,3.82906,1.31191,0.00643,0.41452,0.13124,0.08065,1.73229,4.12612,1.29336,4.53773e-05,4.53773e-05,4.53773e-05
