epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.095,2.08598,5.29408,1.68282,0.00143,0.13985,0.00299,0.00109,1.58284,4.42322,1.51464,4.545e-05,4.545e-05,4.545e-05
2,63.1022,1.80961,5.23957,1.52823,0.0024,0.24562,0.05508,0.02883,1.47329,4.36148,1.34892,9.0091e-05,9.0091e-05,9.0091e-05
3,93.5067,1.75754,4.55832,1.51505,0.00292,0.23668,0.06355,0.03392,1.53102,4.28648,1.37007,0.000123933,0.000123933,0.000123933
